Python 2.6.5 (r265:79096, Mar 19 2010, 21:48:26) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.

    ****************************************************************
    Personal firewall software may warn about the connection IDLE
    makes to its subprocess using this computer's internal loopback
    interface.  This connection is not visible on any external
    interface and no data is sent to or received from the Internet.
    ****************************************************************
    
IDLE 2.6.5      
>>> ================================ RESTART ================================
>>> 

Warning (from warnings module):
  File "C:\Python26\ArcGIS10.0\lib\site-packages\MySQLdb\__init__.py", line 34
    from sets import ImmutableSet
DeprecationWarning: the sets module is deprecated
baidu:(116.286770298,39.8751662493)---->origin:(116.27433861,39.8675856388)
baidu:(116.314879949,39.8637018306)---->origin:(116.302303118,39.8564053901)
baidu:(116.439130633,39.8641348885)---->origin:(116.426379461,39.8567887488)
baidu:(116.403172915,39.8619349494)---->origin:(116.390542672,39.8541879926)
baidu:(116.436873528,39.8711618164)---->origin:(116.424129557,39.8637708726)
baidu:(116.38824213,39.8561274996)---->origin:(116.375582083,39.8485368617)
baidu:(116.36635302,39.8542518196)---->origin:(116.353601915,39.8470707148)
baidu:(116.441660049,39.8715519616)---->origin:(116.428893153,39.8642524587)
baidu:(116.413034607,39.8638865264)---->origin:(116.400394787,39.856150965)
baidu:(116.362509354,39.851940442)---->origin:(116.349749173,39.8448233439)
baidu:(116.407859117,39.8143846942)---->origin:(116.395267077,39.8066458)
baidu:(116.445679488,39.8686656975)---->origin:(116.432897136,39.8614399702)
baidu:(116.290399602,39.8427599446)---->origin:(116.277987862,39.8351924634)
baidu:(116.2994396,39.8307548976)---->origin:(116.287004448,39.8232509921)
baidu:(116.316072103,39.8989772278)---->origin:(116.303489443,39.8917015864)
baidu:(116.409074383,39.820953411)---->origin:(116.396479839,39.8132157557)
baidu:(116.332075128,39.9023242071)---->origin:(116.319371707,39.8952827332)
baidu:(116.371590518,39.8738588163)---->origin:(116.358846076,39.8665763252)
baidu:(116.327132059,39.8860614193)---->origin:(116.314452762,39.8789558598)
baidu:(116.377335292,39.8716993375)---->origin:(116.364616881,39.8643045259)
baidu:(116.29396981,39.8443280557)---->origin:(116.281545724,39.8367751589)
baidu:(116.388449039,39.8560905754)---->origin:(116.375789821,39.8484966507)
baidu:(116.327385182,39.8499271393)---->origin:(116.314721028,39.8428312748)
baidu:(116.374354677,39.8441480422)---->origin:(116.361646541,39.8368204816)
baidu:(116.3705795,39.8728799432)---->origin:(116.357831143,39.8656168761)
baidu:(116.324150154,39.8822391399)---->origin:(116.311492725,39.8750903408)
baidu:(116.288530051,39.8763261658)---->origin:(116.276095884,39.8687457673)
baidu:(116.326483074,39.8955402115)---->origin:(116.313813956,39.8884274259)
baidu:(116.290399602,39.8427599446)---->origin:(116.277987862,39.8351924634)
baidu:(116.320098735,39.8291037793)---->origin:(116.307513098,39.8219057132)
